S/N,List Year,Date Recorded,Town,Address,Property Type,Assessed Value,Sale Amount
2308,2021,1/19/2022,New Haven,256 CHATHAM ST,Residential,"123,900","270,000"
2309,2021,1/19/2022,New Milford,277 DANBURY RD,Commercial,"111,230","320,000"
2310,2021,1/19/2022,New Haven,70 WOODWARD AV,Residential,"145,215","245,000"
2311,2021,1/19/2022,South Windsor,949 PLEASANT VLY RD #4-12,Residential,"56,400","115,000"
2312,2021,1/19/2022,Waterbury,69 ALMA AVE,Residential,"98,560","245,000"
2313,2021,1/19/2022,Sterling,2 ANNE CIRCLE,Residential,"111,370","284,000"
2314,2021,1/19/2022,Plainville,102 LEDGE RD,Residential,"201,110","295,000"
2315,2021,1/19/2022,Thompson,0 SOUTH SHORE RD,Vacant Land,"2,200","50,000"
2316,2021,1/19/2022,Plainfield,6 GRACE LN,Residential,"206,280","406,802"
2317,2021,1/19/2022,Norwalk,5 MEETING GROVE LN,Vacant Land,"54,330","96,752"
2318,2021,1/19/2022,Stamford,77 HAVEMEYER LANE #64,Residential,"652,060","1,075,000"
2319,2021,1/19/2022,Simsbury,250 FARMS VILLAGE ROAD,Commercial,"196,190","95,000"
2320,2021,1/19/2022,Norwich,54 LAUREN LN,Residential,"109,500","255,000"
2321,2021,1/19/2022,North Canaan,22 BROWNS LN,Residential,"134,200","380,000"
2322,2021,1/19/2022,Waterbury,8 LAFLAMME DR,Residential,"88,240","235,369"
2323,2021,1/19/2022,Oxford,543 ROOSEVELT DRIVE,Residential,"159,500","200,000"
2324,2021,1/19/2022,Norwalk,18 IMPERIAL DR,Residential,"226,000","430,000"
2325,2021,1/19/2022,New Haven,233 FRONT ST UNIT E-2,Residential,"162,645","190,000"
2326,2021,1/19/2022,Plainville,122 EAST MAIN ST,Commercial,"914,550","1,350,000"
2327,2021,1/19/2022,Torrington,WINSTED RD LOTS (3),Vacant Land,"22,200","32,000"
2328,2021,1/19/2022,New Milford,106 BEARD DR,Residential,"108,010","184,900"
2329,2021,1/19/2022,New Haven,440 PROSPECT ST UNIT 11,Residential,"135,800","178,000"
2330,2021,1/19/2022,Redding,74 SEVENTY ACRE RD,Residential,"351,200","390,500"
2331,2021,1/19/2022,Norwalk,181 MAIN ST,Commercial,"1,547,610","1,700,000"
2332,2021,1/19/2022,Southington,197 WEST CENTER ST,Residential,"123,050","205,000"
2333,2021,1/19/2022,Norwich,35 SHERWOOD LN,Residential,"188,800","385,000"
2334,2021,1/19/2022,North Haven,10 JANSEN LN,Residential,"180,780","300,000"
2335,2021,1/19/2022,Southbury,609 CROOK HORN RD,Residential,"245,470","610,000"
2336,2021,1/19/2022,Stamford,91 STRAWBERRY HILL AVE #534,Residential,"130,350","125,000"
2337,2021,1/19/2022,Stamford,64 SUNNYSIDE AVENUE,Commercial,"651,380","1,250,000"
2338,2021,1/19/2022,Norwalk,37 PINE HILL AVE,Residential,"1,025,010","1,585,000"
2339,2021,1/19/2022,Simsbury,239 FARMS VILLAGE ROAD,Commercial,"379,090","200,000"
2340,2021,1/19/2022,Wallingford,17 AUDETTE DR,Residential,"115,800","150,000"
2341,2021,1/19/2022,Stratford,395 WILBAR DRIVE,Residential,"185,080","205,000"
2342,2021,1/19/2022,Newtown,123 BOGGS HILL ROAD,Vacant Land,"99,740","250,000"
2343,2021,1/19/2022,Waterbury,87 BIRCHFIELD DR,Residential,"92,290","200,000"
2344,2021,1/19/2022,Stafford,27 CONVERSE ST,Residential,"89,880","198,000"
2345,2021,1/19/2022,North Branford,46 TWIN LAKES RD,Residential,"215,000","330,000"
2346,2021,1/19/2022,Warren,7 PARTRIDGE RD,Residential,"264,370","492,000"
2347,2021,1/19/2022,Somers,35 BROOKFORD DR,Residential,"422,900","750,000"
2348,2021,1/19/2022,Norwalk,5 BRENNER LN,Residential,"331,140","580,000"
2349,2021,1/19/2022,Newington,82 WILLARD AVE,Residential,"228,940","400,000"
2350,2021,1/19/2022,Southington,484 MERIDEN AV,Residential,"126,980","259,000"
2351,2021,1/19/2022,Norwalk,16 LARSEN ST,Residential,"221,370","477,500"
2352,2021,1/19/2022,New Haven,110 NASH ST,Residential,"161,980","290,000"
2353,2021,1/19/2022,Waterbury,391 WILSON ST,Residential,"61,760","238,000"
2354,2021,1/19/2022,Sterling,290 CHURCH ST,Residential,"121,650","350,000"
2355,2021,1/19/2022,Torrington,40 MORTIMER ST,Residential,"128,710","210,000"
2356,2021,1/19/2022,Wallingford,321 SOUTH ELM ST,Residential,"58,900","98,500"
2357,2021,1/19/2022,Plainville,17 SPRUCE ST,Residential,"104,370","187,000"
2358,2021,1/19/2022,Wolcott,62 WOODWARD RD,Residential,"201,630","340,000"
2359,2021,1/19/2022,West Hartford,127 SOUTH HIGHLAND STREET,Residential,"269,728","410,000"
2360,2021,1/19/2022,West Haven,690 FOREST RD #322,Residential,"155,050","257,000"
2361,2021,1/19/2022,West Hartford,1 KING PHILIP DRIVE #202,Residential,"146,230","255,000"
2362,2021,1/19/2022,West Hartford,189 MILTON STREET,Residential,"177,415","240,000"
2363,2021,1/19/2022,West Haven,79 ROCHDALE TERR,Residential,"127,120","275,000"
2364,2021,1/19/2022,Windsor Locks,17 SECOND STREET,Residential,"138,600","260,000"
2365,2021,1/19/2022,Winchester,14 CURTICE STREET,Residential,"68,950","90,000"
2366,2021,1/19/2022,Wolcott,24 FOREST VIEW DR,Residential,"136,640","270,000"
2367,2021,1/19/2022,West Haven,212 CAMPBELL AVE,Residential,"206,570","397,000"
2368,2021,1/19/2022,Wolcott,62 WOODWARD RD,Residential,"201,630","340,000"
2369,2021,1/19/2022,West Hartford,40 HALL STREET,Residential,"143,150","264,000"
2370,2021,1/19/2022,West Hartford,65 CASSANDRA BLVD #303,Residential,"149,468","285,900"
2371,2021,1/19/2022,Woodbury,100 MAIN ST NORTH,Residential,"259,190","585,000"
2372,2021,1/19/2022,West Haven,64 LAMSON ST,Residential,"116,830","302,000"
2373,2021,1/19/2022,Windham,39 CIRCLE DR,Residential,"30,190","85,000"
2374,2021,1/19/2022,Windsor,79 HOPE CIR,Residential,"143,080","175,000"
2375,2021,1/19/2022,West Haven,45 SPRING ST,Residential,"123,970","196,000"
2376,2021,1/19/2022,Wolcott,100 HICKORY LN,Residential,"127,840","250,900"
2377,2021,1/19/2022,West Haven,655 THIRD AVE,Residential,"111,370","190,000"
2378,2021,1/19/2022,West Hartford,34 SEMINOLE CIRCLE,Residential,"223,370","395,000"
2379,2021,1/19/2022,West Haven,218 CHURCH ST,Residential,"147,210","320,000"
2380,2021,1/19/2022,West Hartford,163 CLIFTON AVENUE,Residential,"227,430","305,000"
2381,2021,1/20/2022,Danbury,191 WESTVILLE AV,Residential,"186,000","425,000"
2382,2021,1/20/2022,East Windsor,26 WOLFERSDORF RD,Residential,"140,160","307,500"
2383,2021,1/20/2022,Bridgeport,2995 MADISON AVE UNIT #23,Residential,"78,810","152,000"
2384,2021,1/20/2022,Bridgeport,85 VICTORY ST,Residential,"131,490","265,900"
2385,2021,1/20/2022,New Britain,424 SLATER RD,Commercial,"193,270","77,760"
2386,2021,1/20/2022,Bridgeport,1081 NOBLE AVE #1083,Residential,"182,356","317,000"
2387,2021,1/20/2022,Cromwell,5 COURT STREET,Residential,"137,410","226,600"
2388,2021,1/20/2022,Haddam,6 LT SHUBAEL RD,Residential,"225,320","418,500"
2389,2021,1/20/2022,Durham,1127 NEW HAVEN RD,Residential,"182,490","329,000"
2390,2021,1/20/2022,Bristol,25 SHORT ST,Residential,"121,100","235,000"
2391,2021,1/20/2022,New Britain,58 JACKSON ST,Residential,"107,520","195,000"
2392,2021,1/20/2022,Burlington,21 SAVARESE LN,Residential,"155,010","310,000"
2393,2021,1/20/2022,East Windsor,31 NORTH MAIN ST,Residential,"82,840","125,000"
2394,2021,1/20/2022,New Canaan,160 PARK ST-#C101,Residential,"855,120","1,250,000"
2395,2021,1/20/2022,Cromwell,2 SMITH FARM ROAD,Residential,"339,430","600,000"
2396,2021,1/20/2022,Lyme,133 MITCHELL HILL RD,Residential,"409,920","690,000"
2397,2021,1/20/2022,Fairfield,26 TAYLOR PLACE,Residential,"347,340","650,000"
2398,2021,1/20/2022,Farmington,8880 SOUTH RD,Vacant Land,"350,880","250,000"
2399,2021,1/20/2022,Bridgeport,3370 MADISON AVE UNIT #6A,Residential,"70,810","127,500"
2400,2021,1/20/2022,Monroe,529 CUTLERS FARM RD,Vacant Land,"310,100","200,000"
2401,2021,1/20/2022,Bridgeport,402 INDIAN AVE,Residential,"141,739","215,000"
2402,2021,1/20/2022,Darien,31 SWIFTS LANE,Residential,"2,958,690","4,400,000"
2403,2021,1/20/2022,Danbury,32 OIL MILL RD 15,Residential,"118,500","258,500"
2404,2021,1/20/2022,Fairfield,431 HULLS FARM ROAD,Residential,"839,860","1,324,000"
2405,2021,1/20/2022,Bridgeport,37 CHERRY HILL DR UNIT #2B,Residential,"59,370","140,000"
2406,2021,1/20/2022,Bristol,705 LAKE AVE UN 65,Residential,"83,300","139,900"
2407,2021,1/20/2022,Barkhamsted,19 BRIDLE DR,Residential,"141,320","290,000"
2408,2021,1/20/2022,Hamden,173 PARK RD,Residential,"79,170","182,500"
2409,2021,1/20/2022,Bridgeport,51 ELM CT,Residential,"151,380","290,000"
2410,2021,1/20/2022,Bridgeport,42 SUMMIT ST,Residential,"132,326","326,250"
2411,2021,1/20/2022,Bridgeport,1685 CENTRAL AVE,Residential,"213,956","325,000"
2412,2021,1/20/2022,Fairfield,4059 PARK AVENUE,Residential,"387,520","680,000"
2413,2021,1/20/2022,Bridgeport,650 CLARKE ST,Residential,"150,250","476,000"
2414,2021,1/20/2022,Danbury,204 MIDDLE RIVER RD,Residential,"149,600","285,500"
2415,2021,1/20/2022,New Britain,295 COMMONWEALTH AVE,Residential,"95,130","185,900"
2416,2021,1/20/2022,New Canaan,155 HERITAGE HILL RD-#C,Residential,"196,420","381,500"
2417,2021,1/20/2022,Chaplin,109 SO BEAR HILL RD,Residential,"135,700","285,000"
2418,2021,1/20/2022,Hamden,70 BELDEN RD,Residential,"86,660","150,000"
2419,2021,1/20/2022,Marlborough,182 SO MAIN ST,Residential,"184,300","226,000"
2420,2021,1/20/2022,Bristol,86 JENNINGS RD,Residential,"100,450","279,900"
2421,2021,1/20/2022,Monroe,9 HATTERTOWN RD,Vacant Land,"204,200","165,000"
2422,2021,1/20/2022,Bridgeport,180 BROOKLAWN AVE,Residential,"254,841","572,000"
2423,2021,1/20/2022,New Canaan,69 MARIOMI RD,Residential,"714,280","1,100,000"
2424,2021,1/20/2022,Bristol,186 GREYSTONE AVE,Residential,"128,730","270,000"
2425,2021,1/20/2022,Bridgeport,368 CONNECTICUT AVE UNIT #10,Residential,"54,970","130,000"
2426,2021,1/20/2022,Danbury,403 SIENNA DR,Residential,"174,900","350,000"
2427,2021,1/20/2022,Bridgeport,3200 PARK AVE UNIT # 3C BLDG 2,Residential,"100,580","160,000"
2428,2021,1/20/2022,Bridgeport,2056 MAIN ST,Residential,"166,203","294,000"
2429,2021,1/20/2022,East Hampton,7 EMERSON RD,Residential,"145,780","100,000"
2430,2021,1/20/2022,Danbury,29 HAMILTON DR,Residential,"135,700","340,000"
2431,2021,1/20/2022,Farmington,107 WEBSTER ST,Residential,"153,100","280,000"
2432,2021,1/20/2022,New Britain,102 TREMONT ST,Residential,"84,560","245,000"
2433,2021,1/20/2022,Danbury,20 OAKLAND AV 3B,Residential,"111,200","240,000"
2434,2021,1/20/2022,New Britain,530 CHURCH ST,Residential,"140,840","293,500"
2435,2021,1/20/2022,Ansonia,14 WOODBRIDGE MANOR RD,Residential,"207,800","435,000"
2436,2021,1/20/2022,Cromwell,10 PALMER CIRCLE,Residential,"166,740","327,000"
2437,2021,1/20/2022,Bridgeport,240 NORLAND AVE,Residential,"165,010","350,000"
2438,2021,1/20/2022,Bethlehem,296 MUNGER LN,Residential,"359,400","675,000"
2439,2021,1/20/2022,Cromwell,11 ARBOR MEADOW,Residential,"224,980","630,871"
2440,2021,1/20/2022,Danbury,12-16 SCUPPO RD D7,Residential,"72,900","202,000"
2441,2021,1/20/2022,Monroe,4 EASTON RD,Commercial,"151,000","165,000"
2442,2021,1/20/2022,Bridgeport,18 BEATRICE ST,Residential,"103,870","250,000"
2443,2021,1/20/2022,Essex,14 LITTLE POINT ST,Residential,"481,200","950,000"
2444,2021,1/20/2022,Cheshire,1288 LILAC CT,Residential,"212,940","420,000"
2445,2021,1/20/2022,New Britain,27 HELEN DR,Residential,"90,300","199,900"
2446,2021,1/20/2022,Bridgeport,1229 HOWARD #1231 & 1239 HOWAR,Industrial,"161,340","310,000"
2447,2021,1/20/2022,Bethel,3 DRUID LANE,Residential,"292,550","569,916"
2448,2021,1/20/2022,Bristol,15 STURBRIDGE COURT,Residential,"192,220","359,900"
2449,2021,1/20/2022,Middletown,3 OMO ST,Residential,"127,840","305,000"
2450,2021,1/20/2022,New Canaan,95 LUDLOWE RD,Residential,"1,015,140","2,112,000"
2451,2021,1/20/2022,Hamden,2751 DIXWELL AVE,Commercial,"495,530","850,000"
2452,2021,1/20/2022,Branford,32 HUNTING RIDGE FARMS,Residential,"312,700","474,500"
2453,2021,1/20/2022,Bridgeport,259 PENNSYLVANIA AVE UNIT #123,Residential,"50,990","120,000"
2454,2021,1/20/2022,Naugatuck,282 N HOADLEY ST,Residential,"80,940","175,000"
2455,2021,1/20/2022,Fairfield,136 ARBOR DRIVE,Residential,"330,890","655,000"
2456,2021,1/20/2022,Bridgeport,85 AMERIDGE DR,Residential,"93,350","6,000"
2457,2021,1/20/2022,Farmington,16 BERKSHIRE DR,Residential,"205,140","390,000"
2458,2021,1/20/2022,Danbury,150 TRIANGLE ST,Residential,"356,400","580,000"
2459,2021,1/20/2022,Bridgeport,174 MAGNOLIA ST,Residential,"138,832","200,000"
2460,2021,1/20/2022,New Britain,86 PENNSYLVANIA AVE,Residential,"115,920","210,000"
2461,2021,1/20/2022,Ansonia,32-34 PLEASANT ST,Residential,"120,600","370,000"
2462,2021,1/20/2022,Plainville,23 WEST BROAD ST,Residential,"187,530","214,500"
2463,2021,1/20/2022,Southington,273-13C QUEEN ST,Residential,"61,170","125,000"
2464,2021,1/20/2022,Stamford,100 RESEARCH DRIVE #5,Commercial,"407,040","825,000"
2465,2021,1/20/2022,Stratford,220 POST OAK ROAD,Residential,"189,140","240,000"
2466,2021,1/20/2022,Torrington,347 LEDGE DR,Residential,"80,010","67,700"
2467,2021,1/20/2022,Sprague,0 PLAIN HILL RD,Vacant Land,"37,030","43,200"
2468,2021,1/20/2022,Orange,792 DERBY MILFORD RD,Residential,"264,800","535,609"
2469,2021,1/20/2022,Southington,154 RAHLENE DR,Residential,"176,920","275,000"
2470,2021,1/20/2022,Waterbury,40 GRANGER ST,Residential,"90,940","236,000"
2471,2021,1/20/2022,Norwich,515 PLAIN HILL RD,Vacant Land,"7,700","46,800"
2472,2021,1/20/2022,Norwalk,202 RICHARDS AVE,Residential,"287,870","450,000"
2473,2021,1/20/2022,Simsbury,12 PROSPECT RIDGE,Residential,"280,690","646,087"
2474,2021,1/20/2022,New Haven,196 FARREN AV,Residential,"86,765","90,000"
2475,2021,1/20/2022,Waterbury,84 MIDLAND RD,Residential,"117,260","175,000"
2476,2021,1/20/2022,Waterbury,225 WILLOW ST,Residential,"31,730","245,000"
2477,2021,1/20/2022,Sterling,STERLING HILL RD,Vacant Land,"17,840","60,000"
2478,2021,1/20/2022,Voluntown,60 WILLIAMS RD,Residential,"152,340","780,000"
2479,2021,1/20/2022,Ridgefield,24 CROSBY CT,Residential,"742,860","1,185,000"
2480,2021,1/20/2022,Torrington,185 WINSTED RD,Residential,"58,880","50,100"
2481,2021,1/20/2022,South Windsor,365 DIANE DR,Residential,"144,800","280,000"
2482,2021,1/20/2022,Stamford,124 CRYSTAL LAKE ROAD,Residential,"377,640","740,000"
2483,2021,1/20/2022,Norwalk,15 PERRY AVE UNIT C10,Residential,"218,080","330,000"
2484,2021,1/20/2022,New Haven,175 COLONY RD,Residential,"356,615","630,000"
2485,2021,1/20/2022,Norwich,489 PLAIN HILL RD,Vacant Land,"4,300","46,800"
2486,2021,1/20/2022,Stratford,2134 NICHOLS AVENUE,Residential,"166,740","329,900"
2487,2021,1/20/2022,Southington,12 HAZELWOOD DR,Residential,"270,880","365,000"
2488,2021,1/20/2022,Stratford,223B SHOSHONI LANE,Residential,"145,460","300,000"
2489,2021,1/20/2022,Warren,17 KENT RD,Residential,"260,880","354,000"
2490,2021,1/20/2022,Stamford,129 SYLVAN KNOLL ROAD,Commercial,"2,177,200","250,000"
2491,2021,1/20/2022,Stamford,284 INGLESIDE DRIVE,Residential,"640,100","2,196,200"
2492,2021,1/20/2022,Simsbury,6 HIGH HILL CIRCLE,Residential,"178,480","375,000"
2493,2021,1/20/2022,Newington,68 BROOKDALE AVE,Residential,"126,080","210,000"
2494,2021,1/20/2022,Stafford,81 HOPYARD RD,Vacant Land,"169,960","265,100"
2495,2021,1/20/2022,North Branford,1 EDWARD RD,Residential,"137,000","260,000"
2496,2021,1/20/2022,Sterling,56 DEERFIELD DR,Residential,"45,220","130,000"
2497,2021,1/20/2022,New Hartford,771 LITCHFIELD TPKE,Residential,"115,360","185,900"
2498,2021,1/20/2022,Waterbury,260 MILL PLAIN AVE,Residential,"60,930","75,000"
2499,2021,1/20/2022,Wallingford,31 TREMPER DR,Residential,"156,000","249,900"
2500,2021,1/20/2022,South Windsor,51 DAVEWELL RD,Residential,"117,600","240,000"
2501,2021,1/20/2022,Norwalk,134 WASHINGTON ST UNIT D302,Residential,"119,420","175,000"
2502,2021,1/20/2022,New Haven,24 DAISY ST,Residential,"136,990","175,000"
2503,2021,1/20/2022,Voluntown,63 WILLIAMS RD,Vacant Land,"20,150","780,000"
2504,2021,1/20/2022,Stratford,90 ARBOR STREET,Residential,"130,550","259,000"
2505,2021,1/20/2022,Voluntown,WILLIAMS RD,Vacant Land,"3,000","780,000"
2506,2021,1/20/2022,Southington,41 OLD OAK CT,Residential,"142,910","488,043"
2507,2021,1/20/2022,Somers,104 SPRINGFIELD RD,Residential,"125,600","208,000"
2508,2021,1/20/2022,Portland,2 JERSEY LN,Residential,"153,650","259,000"
2509,2021,1/20/2022,Warren,95 LAKE RD,Residential,"190,310","294,008"
2510,2021,1/20/2022,Voluntown,404 BROWN RD,Vacant Land,"26,600","780,000"
2511,2021,1/20/2022,New London,9 HARBOR LANE,Residential,"139,860","295,000"
2512,2021,1/20/2022,North Branford,19 BIRCHWOOD RD,Residential,"155,200","241,000"
2513,2021,1/20/2022,North Branford,28 CHURCH ST,Residential,"203,900","166,000"
2514,2021,1/20/2022,Waterbury,585 PARK RD #9-4,Residential,"55,870","118,500"
2515,2021,1/20/2022,North Haven,127 MULHOLLAND RD,Residential,"137,270","409,168"
2516,2021,1/20/2022,Newington,49 GOODALE DR,Residential,"157,350","300,000"
2517,2021,1/20/2022,Stamford,59 COURTLAND AVENUE #1L,Residential,"127,870","278,000"
2518,2021,1/20/2022,Torrington,45 DUTTON HILL RD,Residential,"106,740","240,000"
2519,2021,1/20/2022,Southington,105 LEPAGE DR,Residential,"230,960","450,000"
2520,2021,1/20/2022,Newtown,9 DIAMOND DRIVE,Residential,"196,260","395,000"
2521,2021,1/20/2022,Plainville,19 CODY AVE A1,Residential,"87,920","120,000"
2522,2021,1/20/2022,Stamford,5 HUNDLEY COURT #3A,Residential,"130,560","228,000"
2523,2021,1/20/2022,Stratford,40 DEL DRIVE,Residential,"189,210","376,000"
2524,2021,1/20/2022,Waterbury,145 ARLINE DR,Residential,"116,100","2,150"
2525,2021,1/20/2022,New Haven,79 HUBINGER ST,Residential,"194,145","365,000"
2526,2021,1/20/2022,Stratford,3945 MAIN STREET,Residential,"294,420","508,600"
2527,2021,1/20/2022,Stratford,164 HAMILTON AVENUE UNIT 7,Residential,"168,980","310,000"
2528,2021,1/20/2022,Torrington,1164 TORRINGFORD ST,Residential,"108,840","125,000"
2529,2021,1/20/2022,Oxford,543 UNDER THE ROCK PARK,Residential,"132,900","450,000"
2530,2021,1/20/2022,Waterbury,26 GRANDVIEW AVE,Residential,"78,350","244,000"
2531,2021,1/20/2022,New Haven,1041 STATE ST,Industrial,"408,660","1,350,000"
2532,2021,1/20/2022,Norwich,136 HUNTERS RD #24,Residential,"16,300","25,000"
2533,2021,1/20/2022,North Haven,2285 RIDGE RD,Residential,"540,555","1,125,000"
2534,2021,1/20/2022,Newtown,76 EDEN HILL ROAD,Residential,"299,790","490,000"
2535,2021,1/20/2022,New London,58 BERKELEY AVE,Residential,"105,210","230,000"
2536,2021,1/20/2022,West Hartford,688 FLATBUSH AVENUE,Residential,"101,985","133,000"
2537,2021,1/20/2022,Wethersfield,724 NOTT ST,Residential,"131,400","240,000"
2538,2021,1/20/2022,Woodbridge,11 PINE RIDGE,Residential,"227,010","470,000"
2539,2021,1/20/2022,Westport,10 COMPO HILL AVENUE,Residential,"989,600","1,900,000"
2540,2021,1/20/2022,West Hartford,16 CHESTNUT LANE,Residential,"252,245","380,500"
2541,2021,1/20/2022,Weston,143 OLD HYDE ROAD,Residential,"437,300","510,000"
2542,2021,1/20/2022,Westport,13 HERMIT LANE,Residential,"572,800","977,500"
2543,2021,1/20/2022,Weston,2 BRIAR OAK DRIVE,Residential,"1,361,960","2,235,000"
2544,2021,1/20/2022,Woodbridge,7 RICHARD SWEET DR,Residential,"310,940","480,000"
2545,2021,1/20/2022,West Haven,48 BLOHM ST,Residential,"170,380","304,000"
2546,2021,1/20/2022,West Hartford,146 MOHAWK DRIVE,Residential,"237,143","435,000"
2547,2021,1/20/2022,Wolcott,M111 L8 B1 WHIBEY DR,Vacant Land,"95,570","95,000"
2548,2021,1/20/2022,West Hartford,37 ARNOLD WAY + GARAGE 2A,Residential,"103,758","190,000"
2549,2021,1/21/2022,Middletown,31 SILVER ST,Residential,"131,220","210,000"
2550,2021,1/21/2022,Naugatuck,461 SPRING ST #E3,Residential,"51,070","130,000"
2551,2021,1/21/2022,Mansfield,28 OLD WOOD RD,Residential,"99,300","151,995"
2552,2021,1/21/2022,Bridgeport,208 GRIFFIN CIRCLE,Residential,"254,624","450,000"
2553,2021,1/21/2022,New Britain,50 PENTLOW AVE,Residential,"123,130","190,000"
2554,2021,1/21/2022,Bridgewater,136 CURTIS ROAD,Residential,"740,600","1,550,000"
2555,2021,1/21/2022,Cromwell,14 BOW LANE,Residential,"211,820","262,000"
2556,2021,1/21/2022,Hamden,118 FOOTE ST,Residential,"138,180","280,000"
2557,2021,1/21/2022,Bethlehem,240 LAKES RD,Residential,"173,400","445,000"
2558,2021,1/21/2022,New Fairfield,55 RTE 39,Residential,"190,800","397,000"
2559,2021,1/21/2022,Hamden,1730 STATE ST U410,Residential,"30,310","55,000"
2560,2021,1/21/2022,New Britain,50 CHILDS ST,Residential,"87,990","195,000"
2561,2021,1/21/2022,Hamden,2480 WHITNEY AVE U5,Residential,"77,070","170,000"
2562,2021,1/21/2022,East Windsor,9-02 NORTH RD,Residential,"11,080","37,318"
2563,2021,1/21/2022,Derby,3-5 MASON ST,Residential,"188,020","235,000"
2564,2021,1/21/2022,Bridgeport,275 MYRTLE AVE,Residential,"186,730","385,000"
2565,2021,1/21/2022,Bridgeport,49 BUNNELL  ST #51,Residential,"105,020","201,000"
2566,2021,1/21/2022,Naugatuck,34 KOSKO LA,Residential,"115,560","225,000"
2567,2021,1/21/2022,New Britain,5 ARCH ST,Commercial,"264,390","710,000"
2568,2021,1/21/2022,Bridgeport,1652 FAIRFIELD AVE #1654,Residential,"149,312","335,000"
2569,2021,1/21/2022,Middletown,132 TROLLEY CROSSING LA,Residential,"88,300","185,000"
2570,2021,1/21/2022,East Windsor,11B RIVERVIEW DR,Residential,"22,540","130,000"
2571,2021,1/21/2022,Cromwell,206 SKYVIEW DRIVE,Residential,"112,980","220,000"
2572,2021,1/21/2022,Coventry,62 WINDY HILL RD,Residential,"78,400","551,678"
2573,2021,1/21/2022,New Britain,26 TUNXIS ST,Residential,"134,890","330,000"
2574,2021,1/21/2022,Monroe,78 LAZY BROOK RD,Residential,"283,600","580,000"
2575,2021,1/21/2022,New Canaan,883 VALLEY RD,Residential,"1,465,590","2,399,000"
2576,2021,1/21/2022,Bristol,717 JEROME AVE,Residential,"68,470","75,000"
2577,2021,1/21/2022,Middletown,205 CARRIAGE CROSSING,Residential,"46,880","99,500"
2578,2021,1/21/2022,Bridgeport,400 CARROL AVE,Vacant Land,"33,760","450,000"
2579,2021,1/21/2022,East Windsor,23 MILLER RD,Vacant Land,"43,470","130,000"
2580,2021,1/21/2022,East Granby,50-58 RAINBOW ROAD,Commercial,"825,000","1,726,803"
2581,2021,1/21/2022,Hamden,694 CIRCULAR AVE,Residential,"130,060","240,000"
2582,2021,1/21/2022,New Fairfield,8 CARLEON RD,Residential,"128,600","168,000"
2583,2021,1/21/2022,Bridgeport,440 SUCCESS AVE BLDG 86 APT 15,Commercial,"1,381,530","25,000"
2584,2021,1/21/2022,Lebanon,149 HOXIE RD,Residential,"144,250","342,000"
2585,2021,1/21/2022,Guilford,720 NUT PLAINS RD,Residential,"298,550","550,000"
2586,2021,1/21/2022,Naugatuck,79 RAMSEY AVE,Residential,"142,940","296,000"
2587,2021,1/21/2022,Fairfield,740 MILL HILL TERRACE,Residential,"636,860","1,200,000"
2588,2021,1/21/2022,Avon,723 LOVELY STREET,Residential,"203,510","330,000"
2589,2021,1/21/2022,Ellington,53 SANDY BEACH RD,Residential,"142,310","250,000"
2590,2021,1/21/2022,Branford,101 CEDAR KNOLLS,Residential,"113,200","193,000"
2591,2021,1/21/2022,Cromwell,64 WOODLAND DRIVE,Residential,"56,630","121,000"
2592,2021,1/21/2022,Bristol,279 REDSTONE HILL RD UN 60B,Residential,"41,230","65,000"
2593,2021,1/21/2022,Middletown,108 TROLLEY CROSSING LA,Residential,"45,820","84,900"
2594,2021,1/21/2022,New Canaan,2061 PONUS RIDGE,Residential,"1,547,140","1,325,000"
2595,2021,1/21/2022,Hamden,1730 STATE ST U314,Residential,"30,310","55,000"
2596,2021,1/21/2022,Guilford,1028 MOOSE HILL RD,Residential,"201,190","520,000"
2597,2021,1/21/2022,Hamden,360 STERLING PL,Residential,"182,280","300,000"
2598,2021,1/21/2022,Bloomfield,9 ALLEN ROAD,Residential,"85,890","195,000"
2599,2021,1/21/2022,Bridgeport,65 ST NICHOLAS DR,Residential,"229,760","445,000"
2600,2021,1/21/2022,Farmington,14 COBBLE COURT,Residential,"322,810","513,000"
2601,2021,1/21/2022,Lebanon,181 LEONARD BRIDGE RD,Residential,"179,100","399,900"
2602,2021,1/21/2022,New Britain,150 GREENWOOD ST,Residential,"127,400","310,000"
2603,2021,1/21/2022,Hamden,360 GOODRICH ST,Residential,"124,740","175,000"
2604,2021,1/21/2022,Durham,38 AUSTIN RD,Residential,"134,820","200,000"
2605,2021,1/21/2022,Hamden,1730 STATE ST U102,Residential,"17,920","55,000"
2606,2021,1/21/2022,Branford,25 STANNARD AVE,Residential,"560,300","910,000"
2607,2021,1/21/2022,Essex,28 WOODLAND DR,Residential,"168,300","268,000"
2608,2021,1/21/2022,Bloomfield,10 PURITAN DRIVE,Residential,"134,960","152,000"
2609,2021,1/21/2022,Guilford,152 DUNK ROCK RD,Residential,"234,170","385,000"
2610,2021,1/21/2022,Branford,48 HILLTOP DR,Residential,"181,600","385,000"
2611,2021,1/21/2022,New Britain,123-11A BRITTANY FARMS,Residential,"94,780","180,000"
2612,2021,1/21/2022,Rocky Hill,17 CLEMENS COURT,Residential,"111,160","215,000"
2613,2021,1/21/2022,Stamford,297 GUINEA ROAD,Residential,"637,740","1,080,000"
2614,2021,1/21/2022,Stratford,295 JOHNSON AVENUE,Residential,"136,150","318,000"
